Well_ID;Treatment;N_souce;miRNA;Pair;Dose(uM);Time;OD_600
B6;N.A.;Proline;N.A.;3;N.A.;24;0.081799999
C2;N.A.;Proline;N.A.;4;N.A.;24;0.138500005
C3;plant_miRNA;Proline;5642b;5;2;24;0.363999993
C4;scrambled_miRNA;Proline;5642b;5;2;24;0.317200005
D1;scrambled_miRNA;Proline;5642b;4;2;24;0.379000008
D2;plant_miRNA;Proline;5642b;4;2;24;0.335399985
D4;N.A.;Proline;N.A.;5;N.A.;24;0.090700001
A1;plant_miRNA;Proline;5642b;1;2;25;0.240500003
A2;scrambled_miRNA;Proline;5642b;1;2;25;0.2227
A4;N.A.;Proline;N.A.;2;N.A.;25;0.095399998
A5;plant_miRNA;Proline;5642b;3;2;25;0.27759999
B1;N.A.;Proline;N.A.;1;N.A.;25;0.077699997
B3;scrambled_miRNA;Proline;5642b;2;2;25;0.254000008
B4;plant_miRNA;Proline;5642b;2;2;25;0.273400009
B5;scrambled_miRNA;Proline;5642b;3;2;25;0.244599998
B6;N.A.;Proline;N.A.;3;N.A.;25;0.076200001
C2;N.A.;Proline;N.A.;4;N.A.;25;0.101199999
C3;plant_miRNA;Proline;5642b;5;2;25;0.308099985
C4;scrambled_miRNA;Proline;5642b;5;2;25;0.249300003
D1;scrambled_miRNA;Proline;5642b;4;2;25;0.299699992
D2;plant_miRNA;Proline;5642b;4;2;25;0.277099997
D4;N.A.;Proline;N.A.;5;N.A.;25;0.073600002
A1;plant_miRNA;Proline;5642b;1;2;26;0.268000007
A2;scrambled_miRNA;Proline;5642b;1;2;26;0.250400007
A4;N.A.;Proline;N.A.;2;N.A.;26;0.093800001
A5;plant_miRNA;Proline;5642b;3;2;26;0.271100014
B1;N.A.;Proline;N.A.;1;N.A.;26;0.075499997
B3;scrambled_miRNA;Proline;5642b;2;2;26;0.263599992
B4;plant_miRNA;Proline;5642b;2;2;26;0.272500008
B5;scrambled_miRNA;Proline;5642b;3;2;26;0.255699992
B6;N.A.;Proline;N.A.;3;N.A.;26;0.082400002
C2;N.A.;Proline;N.A.;4;N.A.;26;0.098099999
C3;plant_miRNA;Proline;5642b;5;2;26;0.323300004
C4;scrambled_miRNA;Proline;5642b;5;2;26;0.260600001
D1;scrambled_miRNA;Proline;5642b;4;2;26;0.298900008
D2;plant_miRNA;Proline;5642b;4;2;26;0.262499988
D4;N.A.;Proline;N.A.;5;N.A.;26;0.080700003
A1;plant_miRNA;Proline;5642b;1;2;27;0.25940001
A2;scrambled_miRNA;Proline;5642b;1;2;27;0.243599996
A4;N.A.;Proline;N.A.;2;N.A.;27;0.097800002
A5;plant_miRNA;Proline;5642b;3;2;27;0.281100005
B1;N.A.;Proline;N.A.;1;N.A.;27;0.074600004
B3;scrambled_miRNA;Proline;5642b;2;2;27;0.252900004
B4;plant_miRNA;Proline;5642b;2;2;27;0.275000006
B5;scrambled_miRNA;Proline;5642b;3;2;27;0.243200004
B6;N.A.;Proline;N.A.;3;N.A.;27;0.081100002
C2;N.A.;Proline;N.A.;4;N.A.;27;0.110799998
C3;plant_miRNA;Proline;5642b;5;2;27;0.311699986
C4;scrambled_miRNA;Proline;5642b;5;2;27;0.249699995
D1;scrambled_miRNA;Proline;5642b;4;2;27;0.301899999
D2;plant_miRNA;Proline;5642b;4;2;27;0.263500005
D4;N.A.;Proline;N.A.;5;N.A.;27;0.079999998
A1;plant_miRNA;Proline;5642b;1;2;28;0.265599996
A2;scrambled_miRNA;Proline;5642b;1;2;28;0.25819999
A4;N.A.;Proline;N.A.;2;N.A.;28;0.083899997
A5;plant_miRNA;Proline;5642b;3;2;28;0.290899992
B1;N.A.;Proline;N.A.;1;N.A.;28;0.077200003
B3;scrambled_miRNA;Proline;5642b;2;2;28;0.281500012
B4;plant_miRNA;Proline;5642b;2;2;28;0.280600011
