Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
G10	plant_miRNA	mix17AA	aof159	5	2	4	0.2027
G11	scrambled_miRNA	mix17AA	ath827	5	2	4	0.2119
B2	scrambled_miRNA	mix17AA	aof159	1	2	5	0.3456
B3	plant_miRNA	mix17AA	ath5642b	1	2	5	0.3378
B4	N.A.	mix17AA	N.A.	2	N.A.	5	0.0842
B5	plant_miRNA	mix17AA	ath158a3p	2	2	5	0.3402
B6	plant_miRNA	mix17AA	ath827	3	2	5	0.35
B7	plant_miRNA	mix17AA	aof159	3	2	5	0.3464
B8	scrambled_miRNA	mix17AA	ath158a3p	4	2	5	0.3069
B9	scrambled_miRNA	mix17AA	ath827	4	2	5	0.3062
B10	scrambled_miRNA	mix17AA	ath5642b	5	2	5	0.3281
B11	plant_miRNA	mix17AA	ath158b	5	2	5	0.325
C2	plant_miRNA	mix17AA	aof159	1	2	5	0.353
C3	scrambled_miRNA	mix17AA	ath5642b	1	2	5	0.3414
C4	N.A.	mix17AA	N.A.	2	N.A.	5	0.0878
C5	scrambled_miRNA	mix17AA	ath158a3p	2	2	5	0.3315
C6	scrambled_miRNA	mix17AA	ath827	3	2	5	0.3446
C7	scrambled_miRNA	mix17AA	aof159	3	2	5	0.3255
C8	plant_miRNA	mix17AA	ath158a3p	4	2	5	0.3049
C9	plant_miRNA	mix17AA	ath827	4	2	5	0.3072
C10	plant_miRNA	mix17AA	ath5642b	5	2	5	0.3246
C11	scrambled_miRNA	mix17AA	ath158b	5	2	5	0.3384
D2	scrambled_miRNA	mix17AA	ath158a3p	1	2	5	0.3544
D3	plant_miRNA	mix17AA	ath158b	1	2	5	0.3424
D4	scrambled_miRNA	mix17AA	ath5642b	2	2	5	0.3248
D5	plant_miRNA	mix17AA	ath827	2	2	5	0.3351
D6	N.A.	mix17AA	N.A.	3	N.A.	5	0.1074
D7	plant_miRNA	mix17AA	ath5642b	3	2	5	0.3313
D8	plant_miRNA	mix17AA	aof159	4	2	5	0.3138
D9	scrambled_miRNA	mix17AA	ath158b	4	2	5	0.2968
D10	plant_miRNA	mix17AA	ath158a3p	5	2	5	0.3195
D11	N.A.	mix17AA	N.A.	5	N.A.	5	0.0866
E2	plant_miRNA	mix17AA	ath158a3p	1	2	5	0.3456
E3	scrambled_miRNA	mix17AA	ath158b	1	2	5	0.344
E4	plant_miRNA	mix17AA	ath5642b	2	2	5	0.3359
E5	scrambled_miRNA	mix17AA	ath827	2	2	5	0.3291
E6	N.A.	mix17AA	N.A.	3	N.A.	5	0.0855
E7	scrambled_miRNA	mix17AA	ath5642b	3	2	5	0.3347
E8	scrambled_miRNA	mix17AA	aof159	4	2	5	0.3017
E9	plant_miRNA	mix17AA	ath158b	4	2	5	0.3093
E10	scrambled_miRNA	mix17AA	ath158a3p	5	2	5	0.3187
E11	N.A.	mix17AA	N.A.	5	N.A.	5	0.0891
