Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
G7	scrambled_miRNA	L-Proline	mix_5	3	10	2	0.0963
G8	plant_miRNA	Glycine	mix_5	4	10	2	0.0925
G9	scrambled_miRNA	L-Methionine	mix_5	4	10	2	0.0972
G10	plant_miRNA	L-Methionine	mix_5	5	10	2	0.0965
G11	plant_miRNA	L-Tryptophan	mix_5	5	10	2	0.0968
G12	N.A.	L-Lysine	N.A.	N.A.	N.A.	2	0.083
H4	N.A.	L-Methionine	N.A.	N.A.	N.A.	2	0.0889
H5	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	2	0.0892
H6	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	2	0.0924
H7	N.A.	Glycine	N.A.	N.A.	N.A.	2	0.0893
H9	N.A.	L-Lysine	N.A.	N.A.	N.A.	2	0.094
H11	N.A.	L-Proline	N.A.	N.A.	N.A.	2	0.0886
A4	N.A.	L-Lysine	N.A.	N.A.	N.A.	3	0.0787
A5	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	3	0.082
A6	N.A.	L-Proline	N.A.	N.A.	N.A.	3	0.0846
A7	N.A.	Glycine	N.A.	N.A.	N.A.	3	0.0862
A8	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	3	0.0896
A9	N.A.	L-Methionine	N.A.	N.A.	N.A.	3	0.0876
B1	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	3	0.0957
B2	plant_miRNA	L-Isoleucine	mix_5	1	10	3	0.1125
B3	plant_miRNA	L-Tryptophan	mix_5	1	10	3	0.1011
B4	scrambled_miRNA	Glycine	mix_5	2	10	3	0.1005
B5	plant_miRNA	L-Lysine	mix_5	2	10	3	0.0992
B6	scrambled_miRNA	L-Methionine	mix_5	3	10	3	0.1035
B7	plant_miRNA	Glycine	mix_5	3	10	3	0.1018
B8	scrambled_miRNA	L-Tryptophan	mix_5	4	10	3	0.1042
B9	plant_miRNA	L-Proline	mix_5	4	10	3	0.0989
B10	scrambled_miRNA	L-Lysine	mix_5	5	10	3	0.0988
B11	scrambled_miRNA	L-Isoleucine	mix_5	5	10	3	0.0952
B12	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	3	0.0851
C1	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	3	0.0913
C2	scrambled_miRNA	L-Isoleucine	mix_5	1	10	3	0.1125
C3	scrambled_miRNA	L-Tryptophan	mix_5	1	10	3	0.103
C4	plant_miRNA	Glycine	mix_5	2	10	3	0.1101
C5	scrambled_miRNA	L-Lysine	mix_5	2	10	3	0.0963
C6	plant_miRNA	L-Methionine	mix_5	3	10	3	0.1006
C7	scrambled_miRNA	Glycine	mix_5	3	10	3	0.0998
C8	plant_miRNA	L-Tryptophan	mix_5	4	10	3	0.1034
C9	scrambled_miRNA	L-Proline	mix_5	4	10	3	0.0977
C10	plant_miRNA	L-Lysine	mix_5	5	10	3	0.0998
C11	plant_miRNA	L-Isoleucine	mix_5	5	10	3	0.1014
C12	N.A.	Glycine	N.A.	N.A.	N.A.	3	0.0861
D1	N.A.	L-Methionine	N.A.	N.A.	N.A.	3	0.0838
D2	plant_miRNA	L-Methionine	mix_5	1	10	3	0.0915
D3	plant_miRNA	Glycine	mix_5	1	10	3	0.0992
D4	plant_miRNA	L-Proline	mix_5	2	10	3	0.1013
D5	scrambled_miRNA	L-Methionine	mix_5	2	10	3	0.1054
D6	scrambled_miRNA	L-Isoleucine	mix_5	3	10	3	0.1037
D7	plant_miRNA	L-Tryptophan	mix_5	3	10	3	0.1141
D8	scrambled_miRNA	L-Lysine	mix_5	4	10	3	0.1021
D9	plant_miRNA	L-Isoleucine	mix_5	4	10	3	0.102
D10	scrambled_miRNA	Glycine	mix_5	5	10	3	0.1039
D11	scrambled_miRNA	L-Proline	mix_5	5	10	3	0.1029
