Well_ID	Plate	Pair	miRNA	Treatment	N_Source	Time	OD540
F9	2	C	NA	std	250	NA	0.255199999
G9	2	C	NA	std	500	NA	0.409700006
A1	1	D	ath-miR158b	Plant	Mix_AA	0	0.254900008
A2	1	D	ath-miR158b	Scramble	Mix_AA	0	0.259000003
A3	1	D	ath-miR158a3p	Plant	Mix_AA	0	0.252600014
A4	1	D	ath-miR158a3p	Scramble	Mix_AA	0	0.252000004
A5	1	D	ath-miR159	Plant	Mix_AA	0	0.2579
A6	1	D	ath-miR159	Scramble	Mix_AA	0	0.259900004
A7	1	D	Ctl-1	NA	Mix_AA	0	0.262199998
B1	1	D	Mix5	Plant	Mix_AA	0	0.206900001
B2	1	D	Mix5	Scramble	Mix_AA	0	0.216299996
B3	1	D	ath-miR827	Plant	Mix_AA	0	0.221399993
B4	1	D	ath-miR827	Scramble	Mix_AA	0	0.222900003
B5	1	D	ath-miR5642b	Plant	Mix_AA	0	0.227200001
